Churn,Genero,Ciudadano_Senior,Pareja,Dependientes,Antiguedad_Meses,Servicio_Telefonico,Multiples_Lineas,Servicio_Internet,Seguridad_Online,Copia_Seguridad_Online,Proteccion_Dispositivo,Soporte_Tecnico,Television_Streaming,Peliculas_Streaming,Tipo_Contrato,Facturacion_Electronica,Metodo_Pago,Cargos_Mensuales_Total,Cuentas_Diarias
0.0,Female,0,1.0,1.0,9,1,0,DSL,0,1,0,1,1,0,One year,1.0,Mailed check,593.3,19.776666666666664
0.0,Male,0,0.0,0.0,9,1,1,DSL,0,0,0,0,0,1,Month-to-month,0.0,Mailed check,542.4,18.08
1.0,Male,0,0.0,0.0,4,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1.0,Electronic check,280.85,9.361666666666668
1.0,Male,1,1.0,0.0,13,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,1.0,Electronic check,1237.85,41.26166666666666
1.0,Female,1,1.0,0.0,3,1,0,Fiber optic,0,0,0,1,1,0,Month-to-month,1.0,Mailed check,267.4,8.913333333333332
0.0,Female,0,0.0,1.0,9,1,0,DSL,0,0,0,1,1,1,Month-to-month,1.0,Credit card (automatic),571.45,19.048333333333336
0.0,Female,1,1.0,0.0,71,1,0,Fiber optic,1,1,1,1,1,1,Two year,1.0,Bank transfer (automatic),7904.25,263.475
0.0,Male,0,1.0,0.0,63,1,1,Fiber optic,1,0,0,1,0,0,Two year,1.0,Credit card (automatic),5377.8,179.26000000000002
0.0,Female,1,0.0,0.0,7,1,0,DSL,1,0,0,0,0,0,Month-to-month,1.0,Electronic check,340.35,11.345
0.0,Female,0,1.0,1.0,65,1,1,DSL,1,1,1,1,1,1,Two year,1.0,Mailed check,5957.9,198.59666666666666
0.0,Male,0,0.0,0.0,54,0,0,DSL,1,0,0,1,1,0,Two year,0.0,Credit card (automatic),2460.55,82.01833333333335
0.0,Female,0,1.0,1.0,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1.0,Credit card (automatic),8456.75,281.89166666666665
0.0,Female,0,1.0,0.0,5,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1.0,Electronic check,351.5,11.716666666666667
0.0,Female,0,0.0,0.0,72,1,1,Fiber optic,1,1,1,0,1,0,Two year,1.0,Bank transfer (automatic),7261.25,242.04166666666666
0.0,Female,0,0.0,0.0,56,0,0,DSL,1,1,1,1,0,0,Two year,0.0,Bank transfer (automatic),2560.1,85.33666666666666
0.0,Female,0,1.0,1.0,71,1,1,Fiber optic,0,1,1,0,0,1,Two year,1.0,Credit card (automatic),6849.4,228.31333333333333
0.0,Female,0,1.0,1.0,34,0,0,DSL,1,0,1,1,1,1,One year,0.0,Mailed check,1993.2,66.44
0.0,Female,1,0.0,0.0,1,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1.0,Electronic check,72.1,2.4033333333333333
1.0,Male,1,0.0,0.0,45,1,0,DSL,1,0,1,0,0,1,One year,0.0,Credit card (automatic),2791.5,93.05
1.0,Male,1,0.0,0.0,1,0,0,DSL,0,0,0,0,0,0,Month-to-month,1.0,Electronic check,25.1,0.8366666666666667
0.0,Female,1,1.0,0.0,50,1,1,No,0,0,0,0,0,0,One year,0.0,Electronic check,1306.3,43.54333333333333
